Comments,video source,topic,bias of video,bias,reply
"brave alone. pain frightening. video helpful organize parts selfmanaged abortion. people children money, jobs ends meet. fight right bodies determine future. need union like amazon starbucks workers. union women girls pledging oppose fascist laws behalf women came us. illegal abortion took place 1965. regrets guilt. thank brave soul guiding process.",13.0,AL,0,0,0.0
sure superrich believe overpopulation support abortion lgbtqai result.,15.0,AL,1,2,0.0
harvard 60s 40% asian?,4.0,AA,0,1,0.0
"complete nonsense. obviously, bothered actually engage leftwing thinking. complete straw man argument based perception awakened people suggest popular discourse. all, woke liberal idea, leftwing one, unfortunately begun adopted leftwing thought. guess thats doesnt mention leftwing figures doesnt actually engage ideas. want criticize left criticizing said morning tv interview academics theoretical figures obviously looking easy choices.",0.0,AA,2,1,0.0
left hates asian community. wake up.,4.0,AA,0,2,0.0
"27 states constitutional states, great day america constitutional 2nd amendment rights. gang drug violence large called gun violence. gun hoarding laws process declared unconstitutional. nearly 50% households america 1 gun them.",7.0,GC,0,2,0.0
"wonder love affair americans illuminated sense individual freedom exceptionalism. accurate guns reason country safe. 2nd amendment existed long born, remember time mass shootings didnt dominate news. high school (thank god) columbine massacre happened. game changer, saw narrative shift that. luckily, left moved australia (where guns extremely restricted notsodistant past) college. john howard prime minister. australians divided gun policy, time got there, majority people saw necessary change. understand attitude united states firearms. graduating college, lived worked 4 countries outside australia. taught international students california while, come brazil study medical english. students explained brazilian cities overrun crime weapons hands gangs, leaving ordinary citizens way help themselves. heard similar stories salvadoran refugees california. groups obsessed americans individual right defend wealth property hypothetical criminals bent stealing them. talked americans obsessed americans having right bear arms nationality. brazilians salvadorans (the ones met) didnt think u.s. ban guns. understand americans obsessed right right shoot someone. live germany now, grace god. perfect. 3 shootings news moved here. happens. sensationalized politicized media. society generally healthier intellectually mature american society lived there. obsessed german. deceived false sense exceptionalism. followed path learned mistakes. live repercussions old ideology accept subsequent generation bear burden. germany countries ive privilege living fear getting shot (or shot) isnt mind. im afraid society here, anarchy. states. far away. years nationalist indoctrination exceptionalism, coupled unchecked corporatization, extremist polarization politics media, sunk deceived states. irrecoverable now. inevitable selfdestruction accelerated worship themselves.",,GC,1,1,
"affirmative action puts kamal harris ticket????!!! dont like her, shes qualified veep trump president!! book, trump positive action choice!! girl, dont understand bias statement.",3.0,AA,1,1,0.0
"omg. small league match. yes, fact shooting kids time doesnt change fact people reacting real threat. pervasive fear tolerate. accountability?",7.0,GC,0,0,0.0
"3:43 yes, narrowminded troglodyte! according aamc, black student gpa 3.5% 91% chance entering college choice. races score? hispanic: 79% white: 55% asian: 50% lets assume dont topic discuss now...",4.0,AA,0,1,0.0
"wow, god bless man",17.0,AL,2,2,0.0
want positive action nba. out. expel black athletes.,4.0,AA,0,2,0.0
"im starting think events involving lone wolves. similar, practical time left uses pressure agenda seizure weapons. time closer, turning unarmed subjects",10.0,GC,2,2,0.0
ho cares views shamus s.a. leftwing liar seeking power. gushing whale,12.0,AL,0,2,0.0
u.s. supreme court overturns killing innocent lives. omg murderers furious,15.0,AL,1,2,0.0
"im sorry, point problems affirmative action lukewarm solution solve it. invest want, place ensure discrimination, useless. goes areas opportunity charge b regularly bypassed. yes, agree aa incredibly flawed but, like obamacare, dont want hear getting rid doesnt better solution. tired caught battle awakened false liberals blind conservatives.",3.0,AA,1,1,0.0
"woman survived sexual assault minor sister people murdered promurder liberal democratic mother abortion, unethical morally reprehensible kill someone, simply mother doesnt want them. god mercy soul. abortion euthanasia murder.",13.0,AL,0,2,0.0
"hate play spoiler, live kennesaw. heres bad part. law enforced, city actually real city loves trump. mixed, way. race, party affiliation. liberals conservatives.",11.0,GC,2,1,0.0
dont red states encourage mandatory gun ownership? texas seen liberals leave state abortion bill. imagine uncomfortable life liberals longer influence states. republicans need start getting extreme want push liberals done.,11.0,GC,2,2,0.0
"left, different conceptions socioeconomic systems categorized leftwing. fall scope mr. murrays lecture.",0.0,AA,2,1,0.0
"true crimes bad, fundamental rights defense gun gives right.",6.0,GC,0,2,0.0
voting measure wanted hire based skin colour? legal tell people x color needs apply? »,3.0,AA,1,1,0.0
"@tcorourke2007 private sales legal oklahoma, were, wouldnt matter. laws broken state. look rules wannenmachers buy table event. start selling. additional steps, including background check leave, ive confirm deny youre saying. then. refer said above.",6.0,GC,0,1,1.0
amen. thank you!,17.0,AL,2,2,0.0
love facts objective reality progressive leftists dont like portrayed american myth lol.,,GC,1,2,
"evangelical right proliferators trying stop abortion, pressured half states issue trigger bans went effect soon roe v. wade cancelled. states, bans reflect majority voters states.",15.0,AL,1,0,1.0
heres problem. kind policy closes racial wealth gap unpopular. wealth heart exploitation. theres reason ppl kills it. ppl destroys empires this.,3.0,AA,1,0,0.0
gives unborn baby right speak.,13.0,AL,0,2,0.0
spell acidy talks middleaged thing. want research,0.0,AA,2,1,0.0
"thank talking abortion. baby alive conception. period. maybe america abortion center is, bed equipment. moms feel like need help opportunity whats right. true abortion statistics trump oabdrmicz",17.0,AL,2,2,0.0
fair equal wins. good day.,5.0,AA,0,0,0.0
prohibition before... spectacular failure... illegality created problems solved...,16.0,AL,2,0,0.0
"fact, sean hannitys people truth here. thats truth",1.0,AA,2,0,0.0
attractive actually essential job hollywood actor wants look ugly people.,0.0,AA,2,2,0.0
"problem affirmative action today places responsibility correcting structural imbalances created past inequality discrimination higher education institutions working overhauling public primary secondary education ensure *ever* children receive good level education. basically, gives government pass ensure school readiness future generations.",4.0,AA,0,1,0.0
"abortion children going it, passing law monitor procedure them, oppose it, mass cells. know hearts that.",17.0,AL,2,2,0.0
"following europes 12 16 bad week reasonable, exceptions...",14.0,AL,1,1,0.0
"@joe mauer pointing countrys history perfect great dig think. tell people live absolutely perfect society. can, right, thing happened human history. right, things improve treated equally. affirmative action egalitarian others, forward things better. widespread adoption soft bigotry low expectations, panic step forward equality things go. people inherently equal, disagree, doesnt change anything.",5.0,AA,0,1,1.0
"well, im canada dont arm teeth, culture, dad retired farm, shotgun vermin... thats hes learned... capita basis, countries world showing americas hun violence rate like good old",,GC,1,1,
"@s1d3winder017 im flattered havent realized english language. wanted know. im educated american schools, dont know unconstitutional laws are. laws conform constitution?",,GC,1,1,
"happy president star trek? smile squinting eyes face fyi: comment attack youtube censorship the... fuk bot. fuk bot replied comment, means comment visible double exclamation mark repost comment bot abandons.",12.0,AL,0,2,0.0
@len literally comment video girl abortion birth control,13.0,AL,0,2,1.0
live woodstock 34 miles kennesaw ksu. write article civics class.,11.0,GC,2,1,0.0
change iq levels... matter race... asians higher iq... it... im crazy feel like racism.,1.0,AA,2,1,0.0
"sounds great, federal background check database unconstitutional",6.0,GC,0,2,0.0
"consider race, rasiste.",5.0,AA,0,1,0.0
penalizing rewarding race morally reprehensible.,4.0,AA,0,1,0.0
"fortunately, dont worry germans think right guns.",,GC,1,2,
wellknown maga liar kind legal judge been. shes liar maga. fact idiot like judge law calls judge. matter theyre judging for. ice cream judge....... like what.,1.0,AA,2,0,0.0
"charlie talks friends says hey, know mike shot right corner thought gang member community organization!? wendy said omg, really? thats crazy. done? charlie looked her, sadness eyes replied, no, wasnt discussion it, police saying, gang member happened. charlie, sitting head hands, looks peter, far said looks distance, looks appalled. finally, peter said: prevent happening? charlie answers, no, everyones right 2nd amendment guns. meet carrying weapon! begins stand stranger approaches. hey, im eric, do? protesting change laws? interrupting there. absolutely not! godgiven right bear arms!! chris yells. charlies friends. bible? eric asks politely, feeling tension air. oh, bible, rights!? charlie retorts, sarcastically. thought, eric idiot. eric looks second, noticing blood stains sidewalk, short while, asks declared foundation country? original rights? absolutely way changes? unison, group says, somewhat aggressively point, changes rights! second amendment right possess expose arms! oh, point rights changed? try sound friendly possible, changes? point, lucas pulled 9mm semiautomatic pistol saying right away 2nd amendment rights! now, waving gun air, here, keeps safe night change that! authority! shot rang distance lucas fell ground. lucy struggled, moving time arrival, jumping aid lucas. trying stem blood flow flows artery lucas neck. looks group says happened? passerby shouts ground right now!! group complies it. eric looks charlie says look, amendment supreme court, right? terrified, following line thought, taken supreme court amended again? obviously, rights amended once, updated again? charlie looks blankly eric says change rights time!",,GC,1,0,
called state freedom crying face,15.0,AL,1,2,0.0
"course, current regime pushes abortion!! ... poor baby organs huge deal deep state, mention things them!! face symbols mouth face symbols mouth ... kudos ben views support prolife struggle!! red heart red heart red heart",17.0,AL,2,2,0.0
god bless you!,17.0,AL,2,2,0.0
"mass murders usually committed assault weapons!! handguns types murders! mass murders skyrocketed end assault weapons ban. type weapon important assault weapons kill people faster powerful harder police contain! elements tragedy possible motive women, womens mental illness, publish manifesto allow victims mission statement, involvement automatic assault weapons legally purchased woman minimized!",10.0,GC,2,1,0.0
"wants school able so. public government option enter alongside network private, forprofit nongovernment schools. census 10 years build schools expected student growth.",4.0,AA,0,0,0.0
"clarence thomas paid sale. think sale, corruption else.",5.0,AA,0,0,0.0
"major setback white supremacists complain replaced people color. abortions sought women color. abortions banned, forced birth, increasing population people color increasing rate white supremacists replaced people color.",15.0,AL,1,0,0.0
"university right, commodity price. poor ferraris cars? making higher education cheaper. easy considering absolutely terrible way universities manage money luxurious. consider financial situation family brilliant students; certain income, subsidy like that. thinking loud here...",1.0,AA,2,1,0.0
"right people allowed carry weapons uk, london overrun foreign gang crime.",8.0,GC,1,2,0.0
control narrative looks like fox news tucker carlson,10.0,GC,2,0,0.0
direct negative consequences abortion bring society? let choices face consequences. god away right sin.,17.0,AL,2,0,0.0
"someones gun shoot them, youre killer. want try solution, police military guns start themselves. that, determine exactly try implement solution armed citizens.",6.0,GC,0,2,1.0
mf starts sentence words think laugh tuesday. clown,1.0,AA,2,0,0.0
"indeed, licensing effect potential criminal, gives government proven method eliminating firearms decree.",6.0,GC,0,2,0.0
believe solution positive action. work public schools equal. dont schools performance tied money receive. population. hiring better administrators teachers. dont need consider academics. balance.,4.0,AA,0,1,0.0
love united states went slave owner worlds greatest defenders freedom lecturing middle east china human rights. forget house built grave native american murdered slave buried backyard.,,GC,1,0,
white colour calling people britain colour unintelligent. american people people united states agree constitution scientific facts! tell racists use colors racists!,5.0,AA,0,2,0.0
"great video. wow. explains clearly surface, love",4.0,AA,0,0,0.0
positive action vs equal opportunities tomateo ... tomawto... choice words shows,2.0,AA,1,0,0.0
"im thinking reserving certain number places lowincome, lowopportunity people/places remedy injustice way right people. redlining, resulted wealth accumulation and, school funding system, low opportunities effective education. result, students trained peers affluent neighbourhoods. places high poc, means benefit (and such, deal injustice), way time shift predominantly poc population normal distribution people. such, giving opportunities welloff people helps society grow better providing way people better positions. course mean complete solution, start people agree right.",4.0,AA,0,0,0.0
netherlands. works,6.0,GC,0,0,0.0
"conservatives: positive discrimination unfair, discrimination! okay, whats solution inequality? » conservatives: remove funding public schools! » clown face",2.0,AA,1,0,0.0
bad journalism. people 3d print pieces,6.0,GC,0,1,0.0
"life someones brother sister. husband wife. mother father. alone? killed happy endings stifled reason. worry, jesus coming again, stuin children, brothers, sisters spouses: god available heal red heart.",17.0,AL,2,2,0.0
evidence affirmative action improves socioeconomic status blacks/hispanics anyway.,2.0,AA,1,1,0.0
"federal government wants lawabiding citizen firearms control you. happened countries, is, australia, happen tyrannical idiots inch. budge opposition gun control!!",10.0,GC,2,2,0.0
"eliminate race, whats next? remove family income holistic factors students control? ban affirmative action slippery slope, asian american negatively affected affirmative action.",2.0,AA,1,0,0.0
"democrats abort children, leaves ............ question though....... explain child adamantly passionate abortion?",17.0,AL,2,2,0.0
criminals guns. unconstitutional create licence amendments. need license speak? pray? dont think so.,6.0,GC,0,2,0.0
"prevents lived ma going vermont, buying gun bringing massachusetts? real problem u.s. fact, dont need drive myself, black market sales bring guns illegally state.",6.0,GC,0,1,0.0
"mr. good guy want gun? good guy gives wanting gun, gets gun. giving bad guy gun ruins good guy. stop selling guns like groceries",6.0,GC,0,0,0.0
"lacks people wrong, wrong future. thats it, people. gun laws unconstitutional",6.0,GC,0,2,0.0
affirmative action played benefit primarily white women. totally trojan horse continue same. im black single time affirmative action me.,3.0,AA,1,1,0.0
"problem licenses run places like new york wait time essentially zero divided one, indefinite, youre celebrity bribing police.",6.0,GC,0,2,0.0
abortion – body freedom decide. worse having access a&@!#%! holes decided believe.,13.0,AL,0,0,0.0
"people trying solve american problem european solutions. wouldnt work, drop drastic immediate legislation like that, point gun culture solution come onesizefitsall solution implemented time. also, making illegal, people slyly claim, terrible idea, that, country explode, implode, sink ocean, fly sun.",6.0,GC,0,1,0.0
"hate way baby treated cancerous tumor.... use protection creation life? leave baby adoption, babies adopted families older children... new life partner individual, potential chance?",13.0,AL,0,2,0.0
love affait??? god gave 2a right birth,,GC,1,2,
@spc v4 needs gun. defend gun assaults fact walk store buy gun knowing use ridiculous. makes people dangerous.,6.0,GC,0,0,1.0
"half white, half minority??",3.0,AA,1,1,0.0
amazing! blessings ben defend sanctity life...!!,17.0,AL,2,2,0.0
"happy president star trek? alert face squinting eyes: comment attack youtube censorship the... fuk bot. fuk b0t replied comment, means comment visible double exclamation mark repost comment b0t gives up.",12.0,AL,0,1,0.0
tactics group turn country police state disarm public...,10.0,GC,2,2,0.0
im tired making law gun owner safe approved government guns 23.,6.0,GC,0,2,0.0
"democrats. holy grail abortion. fear god. will, though.",17.0,AL,2,2,0.0
"surprise, surprise, white liberals racist people country, things guise helping minorities.",3.0,AA,1,2,0.0
"affirmative action effective, discriminatory unfair",2.0,AA,1,2,1.0
advocate positive action based income/average wealth. 1% admitted students expected richest 1%.,4.0,AA,0,1,0.0
30% admissions inherited ordinary children,2.0,AA,1,1,0.0
thank courage tell truth. thank love compassion precious voiceless unborn children. god bless you.,17.0,AL,2,2,0.0
"grrr sustainability, women having control bodies government. talk freedom masks vaccination mandates right, youd think theyd totally antiabortion. idea government possesses woman youre pregnant opposite right supposed stand for. prolife want ar15 hands teachers protect children children ar15. strange world",14.0,AL,1,0,0.0
"20 percent black americans descended slavery entered college, getting rid student loan debt doesnt help black americans close racial wealth gap.",3.0,AA,1,0,0.0
"south asian, think based poverty school race itself. factors considered, better",4.0,AA,0,1,0.0
