Comments,video source,topic,bias of video,bias
Conservatives want color-blindness because it's really good for white people.,4,AA,0,0
"I know I'ma be hated for this, and i usually lean more conservative too but I'm much more libertarian then anything and with that being i believe Women should be able to decide to abort of they see fit just like the vaccine.",16,AL,2,1
"Lake Natron I do respect your opinion, and yes all babies are precious. But at 4 weeks its not even remotely close to be a baby, its just started to develop. Im against abortion from later down in the development chain, but 4 weeks or 5. Im just trying to think of that girl that didnt had a choice. Let say she is like 15 and still in school or older and married and just started her life. I have an extremely hard time believing that she would find this pregnancy to be a blessing.",16,AL,2,1
allowing abortion RISKS allowing mothers ending their offspring until they are 18 therefore it's wrong to allow abortion at all,16,AL,2,2
"Some of the most sharp-witted individuals have never been to Woke Colleges. 
However, there are those who have been to colleges with Ph. Ds. They are extremely analphabetic with no sense of bits of intelligence.
Why are woke black indoctrinators upset, this case was on the pain and heels of yellowish American people.",1,AA,2,2
"Who is this for? Isn't it a bit late for rational analysis?
Like Greta Thunberg is going to be watching and suddenly have a moment of clarity?
""I guess it really is a cult after all!""😊",0,AA,2,2
"This is inaccuate.

Some states already have, and have for some time, required universal background checks.

This has been presented like it's the complete loophole. If you're going to tackle such a huge topic, please be very specific.

Or, perhaps it was intentional that you were not that specific.


Secondly, this solution is already slightly implemented with concealed carry permits. And guess what? Some places just refuse to process the paperwork, even when people submit them. Or the local police deny the license. California, looking at you. Other counties are also notoriously anti-gun and deny many applications.

So how do you actually point out this solution when it's been somewhat implemented in a similar field without citing that relation?",6,GC,0,1
"I despise the term ""law-abiding citizen.""  I surmise, nobody who is of age to purchase a gun is a ""law-abiding citizen.""  Everyone at some point has sped, rolled through a red light, failed to come to a complete stop at a stop sign, jaywalked, or a myriad of other laws.  With this standard nobody, is a law-abiding citizen; they just haven't broken the really big laws that get you thrown in jail.  Most mass shooters were ""law-abiding citizens.""

I own several firearms and I support licensing and much stricter gun control laws.  Like the video points out, the bar for firearm purchase should be higher than a credit card, clean record, and less time than it takes to microwave a burrito.",6,GC,0,1
"A woman who does an abortion is a murderous, lewd, prostitute",15,AL,1,2
"@shadowprovesunshine I don’t ‘think’ I know this. Talk to some real people. With open mindedness speak to a counselor that these women are required to work with prior to an abortion. You are very incorrect. Are their some just cold hearted women that don’t care, I’m sure, but I’ve yet to counsel one.",17,AL,2,1
Simply if you are a law abiding gun owners you should want the checks and balances,6,GC,0,1
It’s amazing how much damage religion causes.,13,AL,0,0
"If I was a woman living in a America and abortion were to be banned. I would never sleep with a man again, get extremely lonely and end up killing myself. 
Plus what will they do if they are raped and get pregnant? That's not fair and purely evil. This country is literally going back to the 1900s. 
Go f*ck yourself America.",15,AL,1,0
"Because I stop you from killing small living things, being the sociopath that you are, you're going to get violent with me. Oh no no no no.",15,AL,1,1
"It is essential that the population is morally compromised, so that they can then be perpetually manipulated. They need to convince themselves that what they did is perfectly fine, because deep down they know it isn't. They become dependent and numb to their sin, the same way an alcoholic becomes dependent to their release. They need to feel constant reassurance that it's ok, all the while, falling deeper into the pit of regret.",16,AL,2,2
"I've been into guns since I was 8 and into self defense since 15. I've never killed anyone or gotten into a shootout or felt the need to harm a mass group of people. There's a minority number of individuals in our country that get massive attention from these instances. Most Americans who own guns aren't violent psychopaths they're normal everyday Americans. We all have a God given right to preserve life from those who wish to take it away, and to preserve freedoms from those who wish to control. It's not an ""American right"" it's a human right to defend yourself, your family, and your society from evil, death, and tyranny. Stay strapped or get clapped people.",9,GC,1,2
"There is no way to control person-to-person sales. How are you gonna monitor 330M people and 400M+ guns in all 50 states at the same time? The only way to do it is mass surveillance and no privacy. Also, the gun show loophole is closed now. Guns shows are a place where gun dealers comes and try to showcase their guns and try to sell them, they are required by law to do background checks on everyone who buys a gun.",6,GC,0,1
Vox your Graphs suck for informing non biased information,4,AA,0,1
"Can you believe how stupid these guys are to let a communist org video tape your training. How do you not know this would be used for something like this. What a bunch of morons. 

The misinformation in this video is stunning and yet here we are.",9,GC,1,2
"History of mental health problems should be curated better. I know someone who wanted to go to the hospital to get help because they were so bad off, but didn't go because they knew it would be on their record. They aren't violent or dangerous, they just had a temporarily problem that they needed help with. 

There are also people who go because of an undiagnosed issue, and once they et medication or therapy for it, they're normal people.

Background checks for guns should take into account whether the exact situation warrants not allowing them a gun.",6,GC,0,2
Now we know how we can control gun safety without actually breaking the second amendment.,6,GC,0,1
"If you think you want to abort, do it.
It's the right choice.",16,AL,2,1
People please just remember who they all are,10,GC,2,1
They are stuck in the matrix. That the problem,10,GC,2,2
Abortion is murder and that's that.,16,AL,2,2
"As an aussie, seeing how far usa has gone down the rabbit hole on gun love is beyond make believe.... I so hope gun reform gets up, and the $ factor is rebuked finally 🙏",7,GC,0,0
"Very manipulative when this video only focused on the declines in enrollment of certain races, while in reality, when you enrol someone for their race, you're actively pushing out someone else who's qualified but lost the opportunity for having the wrong race. All those ""declines"" observed after Prop 209 were, at the same time, previously discriminated candidates receiving their fair treatment, yet the video deliberately avoided acknowledging that.",2,AA,1,1
"Well, the best solution is simply not to give a gun to common people. Only people who need to have a gun because their job is allowed. Like in other countries in the world. The Second Amendment is the reason you have a gun problem in the USA.",6,GC,0,0
This video has way too many facts!,11,GC,2,2
"Guns and God , Don’t mix,",9,GC,1,1
CA voters who voted this down. THANK YOU. THANK YOU Krystal for covering it.,3,AA,1,1
"@Jordan Molosky Firstly I'm not American so don't add a presumption that I speak for other Americans on this subject as you inferred. Secondly you therefore have a mental health crisis and a gun crisis. You seem t be saying a mental health epidemic is unique to The USA, it's a serious problem in every country globally. What is unique, you also throws guns into the mix. Unwell people just don't go around shooting people in my country. The last mass shooting was Dunblane 25 years ago. I'm going to guess where you are, it was much much more recent. There's nothing ""incorrect"" in my statement, just your belief it's ""normal"" to be obsessed with guns on the national level, when compared to pretty much every other country it, just is not. But like I said Americans are the ""normal ones"" and everyone else ""is not"". But blame it on sick people instead of blaming it on the culture, knock yourself out.",6,GC,0,0
"For decades, every weekday at noon, I'd listen to Paul Harvey.  He'd often mention Kennesaw and the positive impact of the ordinance.  I miss Paul Harvey.  America should miss Paul Harvey, every day.",11,GC,2,2
How about more guns fix the gun problem?,6,GC,0,1
They did the right thing thank God stay armed people how can u trust are gov to protect u 🇺🇸 🇺🇸,8,GC,1,2
Judge Jeanine is spot on!,1,AA,2,2
Doesn't this go against YouTube guidelines?  This video is incredibly racist.  I think Vox wants all Asians to be lynched.,4,AA,0,2
No one is surprised at the racist Right.. They have a Black justice who has been begging whites to accept him for decades lol .. The right doesnt care about diversity nore do they want it thats why the only other black Senator they've  had was before Reagan was president lol ..,1,AA,2,0
"As a FL resident, it's a great day.  It's a positive ruling for NY. Criminals will now have to think if their next victim may be carrying a gun. Guns don't kill people- people do. Go cry in your safe space!",8,GC,1,2
"UC Berkeley's Demographic Stats: 42.2% Asian, 19.7% White, 4.4% Black and 21 % Hispanic.

42.2% of people who got into UCB is asian and 19.7% is white. Those are BIG chunks. If you didn't manage to get in when they accepted THAT many asians and whites, the reason why you didn't get wasn't because of Affirmative Action. It's because you weren't good enough to be a part of that 42.2% and 19.7%. Please stop using affirmative action as an excuse as to why you didn't get in 💛",2,AA,1,0
"I think this is fear mongering. There are way more options avaliable then when RVW 1st was set. It's funny how no one pushing sexual responsibility, condoms and the morning after pill. They aren't even pushing the depo shot that they thought was great for BW.",13,AL,0,2
"Except for North Korea, USA is the most fucked up country in the wolrd... this decision by the Supreme Court makes it even more so!
I'm so sad for US citizens that aren't stuck in the Middle Ages (aka, people FOR abortion rights), because they're the ones suffering and having their freedoms supressed... 😢
It seems like the USA are going backwards in evolution...",15,AL,1,0
"Someone explain to me why their are little tokyos and little chinas? But when black people try to unite, it's called reverse racism or there is a big societal push against black people for unifying.",4,AA,0,0
"Yeah when certain demographics require the OTHER demographics to give them, that which THEY worked hard for to survive. That isn't EQUITY,  that is keeping humans as pets",0,AA,2,0
"All Glory and Honor to Almighty God .
Thank you Heavenly Father for this Man who is willing to Protect the Unborn.
I will Pray for you and Family for Promoting the God Given Dignity of Human Life.",17,AL,2,2
"uh what? where has this guy been for the last...ever? we should be telling the left what they should be doing to be successful instead of just saying theyre wrong? news flash buddy, we've been doing that for ages. they don't care. they don't want to know how to be right in the real world, they want to destroy the real world and replace it with their fantasy one, and whenever their fantasy fails to hold up, they blame whats left of the real world and just try harder to destroy it.",0,AA,2,2
That’s the key word for everyone!! You should be considered for merits how hard you work what you do as a human being,1,AA,2,1
"But it does come primarily from a conservative position as people from that side want to main the status quo of white dominance. Affirmative action isn't just quotas. That depends on the definition of Racism. If you link it with institution then yes it is. That's a very entitled viewpoint if I ever heard one. White people used minorities to get to where they are today. And now they expect minorities to simply work their way up to the same level as them without support despite all the roadblocks that they had placed in order to deny their progress, to begin with. Yes, because removing the privilege of white folk is ""anti-white."" Keep playing the false victim here. Here's the problem with that, we don't really live in a meritocracy Those who are rich and privilege will always have the biggest advantage. What Affirmative action is to give support to minorities who have always been disadvantaged. No, what the left is doing is bringing awareness to the inequality that exists between these groups and trying to solve it. Because those two are interlinked. By increasing the representation of minorities in these institutions, you are improving their life qualities. The left does not fuel racism but bring awareness of the racism that currently exists.",4,AA,0,0
"@VMohdude-  if you wondering that policy is insinuating one race is ""smarter"" than another race. Don't know how hard that is to understand.",2,AA,1,2
"The more we go around killing children in the womb unnecessarily (AKA murdering them in the womb), the longer we are going to pay for that sin. We need to stop doing that before it's too late, before any of our countries get conquered by a much more tyrannical country that drags ours off to exile, where we get to starve, at least some of us to death. At the same time, we need to make the environments children outside of the womb would be exposed to more suitable for raising them. This way the pro choice will, over time, stop feeling the need to go to the extreme of murdering a child in the womb.",16,AL,2,2
your fukin universities are a waste of fukin money and poor people are missing fuk all by not going. open up more industrial colleges and make the fithy rich uni's pay for it. simple!!!!,1,AA,2,2
"Wait, are you saying that guns save lives and protect people? But you can't say that!!",11,GC,2,1
Gun Free zones will continue to bring this horror on us.  The killer looks for the Soft Target period! I am sick of this BS!,10,GC,2,2
Lack of empathy in the comments here. I think if you want to have a gun in the US you can but should be only one and not military weapons.,9,GC,1,1
SO CONFIDENTLY COMMITTING MURDER & THAT OWN BABY...SHAME.,13,AL,0,2
It’s funny when people say we live in a free country.,15,AL,1,2
"THANK YOU, THANK YOU, THANK YOU FOR SPEAKING THE TRUTH!!!",17,AL,2,2
What a munted political system you have in America.,12,AL,0,1
You should get into college if you get good scores and perform well. I want my doctor to be the smartest person,4,AA,0,1
THATS RIGHT HE SHOULDN'T HAVE FULL CONTROL,1,AA,2,2
"The left is assuming the ""Racist Republicans"" will overlook well deserved candidates simply because they're a different race. Not even close to being true. Businesses want the best candidate working for them. They don't want half talent but working for them because they were forced to hire based on ethnicity.",1,AA,2,2
"She was very brave to do this alone.   Pain is very scary.  She really made a video that is helpful as to how to arrange various parts of self managed abortion.  But what do we do for the folks who
have children already & have no money, are working two jobs to make ends meet.  We must all fight for each other and our right to our own bodies an to determine our own futures.  We need a union like Amazon and Starbucks workers do.  A union of women and girls pledging to stand up to these fascist laws in the names of women who have gone before us.  My illegal abortion was in 1965.  No regrets and no guilt.  Thanks to this brave soul for taking us through her process.",13,AL,0,0
Pretty sure the super rich all believe in 'overpopulation' & support abortion and LGBTQAI accordingly.,15,AL,1,2
So harvard in the 60s was 40% asian?,4,AA,0,1
"This is complete nonsense. He has obviously never bothered to actually engaged in left wing thought at all. This is a complete strawman argument based on the perception of what ""woke"" people are seeming to suggest in popular discourse. Firstly, woke is a liberal idea and not of the left, although unfortunately it has started to be adopted by some of left thought. I assume that's why he doesn't mention any figures of the left in order to not have to actually engage with their ideas. If you want critique ""the left"" by critiquing what someone said in an interview on morning telly rather than what academics or theoretical figures is obviously looking for easy pickings.",0,AA,2,1
Left really really hates the Asian community. Wake up.,4,AA,0,2
"27 states are now Constitutional carry states, its a great day for America and our 2nd Amendment Constitutional rights. Gang/ drug violence is the vast amount of so called gun violence. Most of the gun grabber laws are in the process of being struck down as unconstitutional. Almost 50% of homes in America have atleast 1 firearm in them.",7,GC,0,2
"I wonder if it's more a love affair with Americans' deluded sense of ""individual freedom"" and  exceptionalism. It's not accurate to say that guns are the reason that the country is unsafe. The 2nd amendment was around long before I was born, and I remember a time when mass shootings were not dominating the news. I was already out of high school (thank God) when the Columbine massacre took place. That was a game changer, and I saw the narrative change after that. Luckily, I left the States and moved to Australia (where guns had become extremely restricted in the not too distant past) for university. John Howard was the prime minister. Australians had been divided over his policy on guns, but by the time I arrived there, the majority of people saw it as a necessary change. They could not comprehend the US attitude toward guns. After graduating from university, I lived and worked in 4 other countries outside the US and Australia. 

I also taught international students in California for a period of time, many of whom had come from Brazil to study medical English. Those students explained that Brazilian cities were overcome by crime and that there were many guns in the hands of gangs, leaving ordinary citizens with no means of helping themselves. I've heard similar stories from El Salvadorian refugees in CA. Both groups used to talk about how obsessed Americans seemed to be with their individual ""right to defend"" their wealth and property from hypothetical criminals intent on stealing from them. They also talked about how obsessed Americans seemed to be with the idea of being American and having the ""right to bear arms"" because of their nationality. 

The Brazilian and El Salvadorians (those I met) did not think that the US should ban guns. They just could not understand why Americans' were so fixated on their ""right"" to have them and their ""right"" to shoot somebody. 

I live in Germany now, by God's grace.. It's not perfect. There have been 3 shootings in the news since I've moved here. It happens. It is not sensationalised or politicised in the media. The society here is generally more intellectually sound and mature than American society ever was when I lived there. They're not obsessed with being German. They're not deluded by a false sense of exceptionalism. They've been down that road and learned from their mistakes. They live with the repercussions of their former ideology and accept that every subsequent generation will have to bear that burden as well.  

Germany is one of five countries I've had the privilege of living in where the fear of being shot (or shot at) is not really on my mind. I also don't fear the society here, even when I see lawlessness. I cannot say the same of the States. They are too far gone there. Years of nationalist indoctrination and exceptionalism coupled with unchecked corporatisation, and now the extremist-driven polarisation in their politics and media, have sunk the Deluded States of America. It's unsalvageable now. Their inevitable self-destruction is only going to be hastened by their own self-worship.",9,GC,1,1
"Affirmative action is putting Kamal Harris on the ticket????!!! I don't like her but she's more qualified to be Veep than Trump president!!! In my book, Trump was an affirmative action pick!!! Girl, you don't even get the bias of that statement.",3,AA,1,1
"OMG. At a Little League game. And yes, the fact that no one was shooting AT the kids THIS TIME doesn’t change the fact that people are reacting to the VERY REAL THREAT. It is a pervasive fear, and one that we should not tolerate. How can we get accountability??",7,GC,0,0
"3:43 yes it is you narrow minded troglodyte! 

According to the AAMC, a black student with a 3.5 gpa has 91% chance of getting into the college of his choice. 

How about other races with that score?

Hispanic: 79%

White: 55%

Asian:50%

But a assume your all out of talking point now...",4,AA,0,1
"wow ,GOD BLESS YOU MAN",17,AL,2,2
We want Affirmative Action in NBA. BRING IT OUT. KICK OUT THOSE BLACK ATHELETES.,4,AA,0,2
"I am begining to think these are not "" Lone Wolf "" events. Too similar too convenient and each time the left uses them to press the gun grab agenda. Each time they creep closer turning us into unarmed subjects",10,GC,2,2
Ho cares about Shamus S.A. opinion's. she is another  liar from the left jus looking for power.🐋🐳,12,AL,0,2
US Supreme court strikes down killing of innocent lives. OMG murderers are so furious,15,AL,1,2
"I'm sorry but you can't just point out the problems with affirmative action and give a tepid solution on how to fix it. You can invest all you want but if there's nothing in place to ensure discrimination isn't taking place, it'll go for naught. Same with ""opportunity zones"" which is another load of BS that routinely gets circumvented. So yea, I agree AA is incredibly flawed but, like Obamacare, I don't want to hear shit about getting rid of it from anyone who doesn't have a better solution. Tired of being caught in between the battle of fake ""woke"" liberals and blind conservatives.",3,AA,1,1
"As a woman who has survived sexual assault as a minor and as the sibling of a people who were murdered by our liberal Democrat pro-murder mother via abortion, this is unethical and morally wrong to murder someone, just because their mother doesn’t want them. May God have mercy on her soul. Abortion and euthanasia is murder.",13,AL,0,2
"Hate to play spoiler, but I live in Kennesaw.

Here is the bad part. The Law is not enforced, and the town is actually not a true everyone loves Trump town. We are very mixed, in all ways. We are Not one race, nor one party affiliation. There are lots of Liberals, and Conservatives.",11,GC,2,1
"Why aren't red states pushing mandatory gun ownership? Texas has already seen liberals leaving their state, because of their abortion bill. Imagine how much more uncomfortable we could make the lives of liberals, until they no longer have any influence in our states. Republicans need to start getting more extreme if we are going to push back against what the liberals have been doing.",11,GC,2,2
"There is no one Left, but many different conceptions of socioeconomic systems that can be categorized as being on the left. Most of them are not within the scope of Mr. Murray's lecture.",0,AA,2,1
True and not every crime is wrong everyone has the same basic rights to shelf defense and a gun is what gives that right,6,GC,0,2
Wasn’t this the ballot measure that wanted to make hiring based on skin color? Like it would make it legal to say “ people if X color need apply?”,3,AA,1,1
"@tcorourke2007 private sales are legal in Oklahoma so if it were the case it wouldn't matter. No laws are being broken in that state. 

I am looking at wannenmachers rules and you do have to purchase a table to be apart of that event. You can't just show up and start selling. There could be additional steps including a background check before you leave but I was never there to confirm or deny what you are saying. But even then. Refer to what I said above.",6,GC,0,1
Amen.  Thank you!,17,AL,2,2
"I like how facts and objective reality that progressive lefties don't like get described as part of the ""American myth"" LOL",9,GC,1,2
"M W The evangelical right and prolifers ARE very much trying to stop abortion, which is why they lobbied about half of the states into issuing trigger bans that went into effect as soon as Roe v. Wade was overturned. In many of these states, the bans do not reflect the will of the majority of voters in those states.",15,AL,1,0
Here is the problem. Any type of policy that will close the racial wealth gap will be unpopular. Wealth is the heart of exploitation. There is a reason why ppl kill for it. Ppl destroy empires for it.,3,AA,1,0
This never gives the unborn baby the right to speak,13,AL,0,2
How do you spell a acidy or whatever he talks about the middle age thing. I want to research more about it,0,AA,2,1
Thank you for speaking up about abortion. A baby is alive at conception. Period. Maybe we should show America what an abortion facility and the bed and equipment. Most moms feel like they need someone to give them help so they have an option to do what’s right. The real stats of abortion outweigh the oabdrmicZ,17,AL,2,2
Sometimes being fair and equal actually wins out. This was a good day.,5,AA,0,0
"We had Prohibition once before…
It was a spectacular failure….

Illegality created more problems than it solved….",16,AL,2,0
Actually Sean hannity people can get the truth anywhere but here. And that is the truth,1,AA,2,0
Being attractive is actually critical to doing the job of a Hollywood actor nobody wants to look at ugly people.,0,AA,2,2
"The problem with affirmative action today is that it places the onus of ""rectification"" of structural imbalances created by inequality and past discrimination on institutions of higher education when we should be working toward overhauling the public system of primary and secondary education to ensure *every* child gets a good standard of education. Basically, it gives the government a free pass on ensuring the scholastic preparation of future generations.",4,AA,0,1
I'm against children being aborted  if they're going to do it how about we pass a law  where they have to watch the procedure being done on them  They shouldn't object it's just it's just a mass of cell's .  But they know in their heart that it's much more than that.,17,AL,2,2
"Following Europe's 12 - 16 week bad would be the most reasonable, with exceptions...",14,AL,1,1
"@Joe Mauer pointing out that the country’s history isn’t perfect isn’t the grand dig you think it is. Please tell me when and where people live in an absolute perfect society. If you can maybe you’ll have a point but here’s the thing that has never happened in human history.

You’re right things won’t get better until all are treated as equals. Affirmative action was one of those “more equal than others” so it really needed to go in order to make things better.


The widespread adoption of the soft bigotry of low expectations which is what everyone who is freaking out by this step forward for equality is of of those things that needs to die off. 

All people are inherently equal, you may disagree but it changes nothing.",5,AA,0,1
"Well I’m from Canada and we don’t arm ourselves to the teeth ,it’s just not part of our culture, my dad retired on a farm he had a shotgun for vermin … which is all he ever shot … per capita all countries in the world 🌎 do not have the rate of hun violence as the good ol US OF A",9,GC,1,1
"@S1D3winder017 I‘m flattered if you still didn’t realize that English isn’t my first language. I really wanted to know. 
I am not educated in USAmerican schools, so I don’t know what unconstitutional laws are, either. How can there be laws when they don’t conform with the constitution?",9,GC,1,1
"Why can't she just be happy being president of Star Trek?😆

FYI: this comment is under YOUTUBE censorship attack by the...""FUK WHAT YOU SAYING IT HERE BOT"". If a ""FUK WHAT YOU SAYING IT HERE"" BOT has replied to your comment, it means your comment IS NOT VISIBLE TO OTHERS‼️ repost the comment until the BOT gives up.",12,AL,0,2
@Len literally comment this under a video ab a girl using abortion as birth control,13,AL,0,2
I live in Woodstock 3-4 miles away from Kennesaw and went to KSU. Had to write a paper on this in my civics class.,11,GC,2,1
You cannot change IQ LEVELS... No matter the race... if asians have higher IQ... so be it... im not mad nor feel like THAT its racism.,1,AA,2,1
This sounds great but a federal background check database is unconstitutional,6,GC,0,2
When you consider race you are a rasist.,5,AA,0,1
Penalizing or rewarding someone for their race is morally wrong.,4,AA,0,1
Fortunately I don’t have to care what Germans think about my right to own weapons.,9,GC,1,2
"This known MAGA LIAR is not some sort of a legal judge and she never was. She is just a MAGA LIAR.
Fact is, any idiot like her can call themselves  a judge as there is no law at at all against  anyone calling themselves a judge.
It is just a question  what they are judge for.  They could just be a judge of ice cream....... for an example.",1,AA,2,0
"Charlie's talking to his friends and says ""Hey, you know Mike was shot just around the corner because someone thought he was a gang member when we're just part of a community organisation!?""
Wendy said ""Omg, really? That's insane. Was anything done about?""
Charlie looked at her, with sadness in his eyes and replied, ""No, there wasn't even a discussion about it, beyond the police saying, he MUST have been a gang member or this never would have happened.""
Charlie, now sitting, his head in his hands looks at Peter, who so far hasn't said anything and is just staring off into the distance, but looks dismayed. Finally Peter says, ""Is there anything we can do to prevent this from happening?""
Charlie replies, ""No, it's everyone's 2nd Amendment right to own guns. So everyone you meet is possibly carrying a weapon!"". He starts to stand up when a foreigner walks over.
""Hey, I'm Eric, is there nothing you can do? Protest to change the laws?"" interrupting everyone who was there.
""Absolutely not! It is a God given right for us to carry weapons!!!"" Chris shouts. Another of Charlie's friends.
""Where does it say that in the Bible?"" Eric asks politely, feeling the tension in the air.
""Oh, it's not the Bible, it's in our Bill of rights!? Charlie retorts, almost sarcastically. As he was thinking, Eric must be an idiot.
Eric looks down for a second, noticing that there are several blood stains on the sidewalk, after a short time he asks ""So this was stated on the foundation of your Country? In the original Bill of Rights? There's absolutely no way to make any changes?""
Almost in unison, the group says, somewhat aggressively at this point ""You can't make changes to the Bill of Rights! It's our second amendment right to own and bare arms!""
""Oh, so at some point, the Bill of Rights 'was' amended?"" trying to sound as friendly as possible, ""So there can be changes made?""
At this point, Lucas pulled out his 9mm semi-automatic pistol saying ""No one has the right to take away our 2nd amendment rights!"" now waving the pistol in the air, ""This here, this is what keeps me safe at night and no one can change that! No one has the authority!"" as a shot rang out in the distance and Lucas fell to the floor. Lucy scrambled, moving for the first time since they had arrived, leaping to Lucas' aid. Trying to stem the flow of blood now flowing from the artery in Lucas' neck.
She looks up at the group and says ""What on Earth just happened?"" when a passer-by shouts ""Everyone on the ground right now!!!"" The group complies.
Eric looks at Charlie and says ""Look, the amendment was made in the Supreme Court, right?"" terrified, but still following the same train of thought, ""Couldn't this be taken to the Supreme Court and amended again? Obviously, if the Bill of Rights has been changed once, it can updated again?""
Charlie just stares blankly at Eric and says ""You can not change the Bill of Rights and besides, now is not the time!""",9,GC,1,0
And they called this the state of freedom 😢,15,AL,1,2
"Of course the current regime is PUSHING for abortions!!... Those poor babies' organs are HUGE BUSINESS for the deep state, not to mention the OTHER things that are done with them!! 🤬🤬... KUDOS to you Ben for your views & support in the PRO-LIFE Fight!! ❤️❤️❤️",17,AL,2,2
God bless you!,17,AL,2,2
"The MASS murders are usually committed with assault weapons!!! Handguns are used in many other kinds of murders! Mass murders have skyrocketed since the assault weapons ban was ended. Th  type of weapon does matter because assault weapons make faster, more powerful work of killing more people and are much harder for responding police to contain! There are other components to this tragedy-the woman's possible motive, the woman's mental illness, and whether they should release her manifesto and allow her victims to become her mission statement-but the involvment yet again of automatic assault weapons legally purchased by this woman is not to be downplayed!",10,GC,2,1
Everyone that wants to go to school should be able to. Should be a government public option anyone can get into at will alongside a network of private or for profit or otherwise non-governmental schools. Just take a census every 10 years and build more schools than projected student growth.,4,AA,0,0
"Clarence Thomas is getting paid and he is a sale out. I use to think he was just a sale out, now its more brivery than anything",5,AA,0,0
"This is a major setback for white supremacists who complain they are being replaced by people of color. Most abortions are sought by women of color. So if abortions are outlawed they will be forced to give birth, increasing the population of people of color and therefore increasing the rate at which these white supremacists will be replaced by people of color.",15,AL,1,0
"College is not a right, it´s a commodity with a price. Do we give poor people Ferrari´s? What we ought to do is make higher education cheaper. That ought to be really easy considering the absolute terrible way these universities handle money and get more and more luxurious. Maybe we have to consider the financial situation of a family of a bright student; when they´re under a certain income than they get a grant or something. Just thinking out loud here...",1,AA,2,1
"If good people were allowed to carry guns in the UK, London wouldn’t be overrun with crime from foreign gangs.",8,GC,1,2
When you control the narrative that sounds like Fox News and Tucker carlson,10,GC,2,0
What direct negative consequences does abortion bring to society?   Let them make their choices and face their own consequences.  Even God does not take away the right to sin.,17,AL,2,0
"If you take someone's gun and shoot them with it, you're the killer.  If you really want to try out this ""solution"" though, then the police and military with guns can start with themselves.  After that, how exactly you try to carry out this ""solution"" with the armed citizenry is up to you to figure out.",6,GC,0,2
"That MF starts a sentence with the two words ""I think"" and I laugh til next Tuesday. Clown show",1,AA,2,0
In effect the licensing system has no effect on the “potential” criminal  but does give the government a proven method of eliminating all guns by fiat.,6,GC,0,2
I feel like the solution shouldn't be affirmative action. We need to work on making all public education equal. Don't make the performance of the school the related to how much cash they get. Just population. And hire better administrators and teachers. Then you don't need to consider anything other then academics. Might take a while for it to balance out.,4,AA,0,1
I love how the US went from slave owners to being the biggest freedom advocates in the world lecturing the middle east and China about human rights. They forget their house was built on the grave of a Native American and a murdered slave burried in the back yard.,9,GC,1,0
White is not a color and to call people of Great Britain by a color is unintelligent. American people are ONE PEOPLE WHO ARE UNITED BY STATES THAT AGREE ON OUR CONSTITUTION AND THAT IS SCIENTIFIC FACTS! SO TELL YOUR RACIST PEOPLE WHO USE COLORS TO DESCRIBE THEMSELVES THEIR RACIST!,5,AA,0,2
"this is a great video. wow. really explains everything clearly and not surface based, love this",4,AA,0,0
Affirmative action vs equal opportunity TomAteO ...TomAwtO...word choice shows who you are,2,AA,1,0
"I'm still thinking about how reserving a certain amount of places for low income and low opportunity people/places would remedy this injustice in a way that would feel fair to most people. If we take redlining this has resulted in less wealth accumulation and with the funding system for schools results in low opportunity and less effective teaching. As such these students are less formed than their peers in more affluent neighbourhoods. These places being a high  amount of POC means that they will benefit the most (and as such addressing injustice) but doing it this way will over time transfer from a mostly POC population into the normal distribution between people. And as such the giving of opportunity to less well off people is helping society grow en be better while also providing a way for people to get themselves in better positions.
This of course doesn't mean that this is a whole solution but it's a start which many people could agree with is fair.",4,AA,0,0
Already have this in the netherlands. It really works,6,GC,0,0
"Conservatives: “Affirmative action is so unfair, it’s discrimination!”
“Agreed, then what’s your solution to inequality?”
Conservatives: “Defund public schools!” 🤡",2,AA,1,0
This is such bad journalism. People can 3D print tuns,6,GC,0,1
"Every life is someones brother, or sister. Husband or wife. Mother or father. 
Why everyone is so alone?
Cause we killed our happy endings And snuffed out reason. 
Fear not, Jesus is STILL coming, and all of you with slain would-have-been children, brothers, sisters, and spouses: God is available for you to get healing ❤️",17,AL,2,2
There's no evidence affirmative action is making the socio economic status of blacks/hispanics better anyway.,2,AA,1,1
"The federal government wants law abiding citizen’s guns so it will have complete control over you. It has happened in other countries i.e. Australia and it will happen here if we ever give these tyrannical idiots an inch. Do not budge on your opposition to gun control, ever!!!",10,GC,2,2
"If we take out race, what’s next? Why not take out family income or other wholistic factors outside of a student’s control? Banning affirmative action is a slippery slope, and I say this as an Asian American negatively affected by Affirmative Action.",2,AA,1,0
"If Democrats abort their kids, then that leaves............Question though.......How do you explain to your child that you're emphatically and passionate about abortion?",17,AL,2,2
criminals will get guns period. It is unconstitutional to create a license for your amendments. You need a license to speak? and pray? i dont think sooo.,6,GC,0,2
"What prohibits me if I would live in MA to just drive to Vermont, get a gun there and just take it back to Massachusetts? That's the actual problem with the U.S. In fact, I do not even have to drive myself, there are enough black market sales bringing the guns into the state illegally",6,GC,0,1
"why does Mr good guy want a gun? If good guy gives up wanting a gun then no one is given a gun. Giving bad guy a gun ruins it for good guy.
JUST STOP DEALING GUNS LIKE GROCERY",6,GC,0,0
